RAMSAR_NAME,state,area_ha,longitude,latitude
Apsley Marshes,TAS,880.67110707,148.2,-41.95
Ashmore Reef National Nature Reserve,EXT,58336.75897957,123.05,-12.25
Banrock Station Wetland Complex,SA,1375.23190561,140.34,-34.18
Barmah Forest,VIC,29305.35964772,145.1,-35.95
Becher Point Wetlands,WA,676.97113915,115.7,-32.39
Blue Lake,NSW,338.14959912,148.33,-36.4
Bool and Hacks Lagoons,SA,3303.54693897,140.7,-37.13
Bowling Green Bay,QLD,34619.18875986,147.3,-19.45
Caryapundy Swamp,NSW,71106.68952131,142.3,-29.2
Cobourg Peninsula,NT,226480.68472537,132.4,-11.35
Coongie Lakes,SA,2176185.37648795,140.15,-27.2
Coral Sea Reserves (Coringa-Herald and Lihou Reefs and Cays),EXT,1728919.84887729,151.5,-17.0
Corner Inlet,VIC,67193.06635856,146.4,-38.8
Currawinya Lakes (Currawinya National Park),QLD,150863.51805792,144.4,-28.85
East Coast Cape Barren Island Lagoons,TAS,4474.83539309,148.3,-40.4
Edithvale-Seaford Wetlands,VIC,157.60766571,145.12,-38.08
Eighty-mile Beach,WA,175464.05895408,121.3,-19.5
Elizabeth and Middleton Reefs Marine National Nature Reserve,EXT,187726.17251038,159.1,-29.5
Fivebough and Tuckerbil Swamps,NSW,342.31650263,146.4,-34.55
Flood Plain Lower Ringarooma River,TAS,3533.97395185,147.85,-40.95
Forrestdale and Thomsons Lakes,WA,784.81341135,115.92,-32.16
Ginini Flats Wetland Complex,ACT,350.18527317,148.78,-35.53
Gippsland Lakes,VIC,61150.77985034,147.7,-38.0
Glenelg Estuary and Discovery Bay Wetlands,VIC,13275.60569626,141.0,-38.05
"Great Sandy Strait (including Great Sandy Strait, Tin Can Bay and Tin Can Inlet)",QLD,83742.29193224,152.95,-25.55
Gunbower Forest,VIC,20217.59358619,144.4,-35.75
Gwydir Wetlands: Gingham and Lower Gwydir (Big Leather) Watercourses,NSW,607.93983521,149.4,-29.3
Hattah-Kulkyne Lakes,VIC,180.51961098,142.35,-34.75
Hosnies Spring,EXT,199.73774898,105.7,-10.5
Hunter Estuary Wetlands,NSW,3352.44375815,151.75,-32.85
Interlaken (Lake Crescent),TAS,513.01963856,147.15,-42.13
Jocks Lagoon,TAS,15.225165,148.3,-41.27
Kakadu National Park,NT,1911121.91547,132.9,-13.1
Kerang Wetlands,VIC,3079.7388398,143.92,-35.73
Lake Albacutya,VIC,5659.37484686,141.97,-35.78
Lake Gore,WA,4017.85128305,121.65,-33.75
Lake Pinaroo (Fort Grey Basin),NSW,719.35291196,141.2,-29.1
Lake Warden System,WA,1999.86340061,121.92,-33.8
Lakes Argyle and Kununurra,WA,117585.52429145,128.75,-16.1
Lavinia,TAS,7028.86792233,143.95,-39.85
Little Llangothlin Nature Reserve,NSW,254.32372635,151.78,-30.1
Little Waterhouse Lake,TAS,56.37632913,147.6,-40.85
Logan Lagoon,TAS,2258.83468817,148.3,-40.18
Moreton Bay,QLD,120655.663825,153.3,-27.3
Moulting Lagoon,TAS,4517.14521905,148.1,-42.05
Muir-Byenup System,WA,10638.8472134,116.65,-34.45
Myall Lakes,NSW,44540.32950355,152.4,-32.45
NSW Central Murray State Forests,NSW,37928.93493505,144.85,-35.55
Narran Lake Nature Reserve,NSW,8453.95484147,147.4,-29.75
Ord River Floodplain,WA,141547.14429087,128.4,-15.4
Paroo River Wetlands,NSW,71057.71869907,144.1,-30.75
Peel-Yalgorup System,WA,26664.54286096,115.7,-32.65
Piccaninnie Ponds Karst Wetlands,SA,858.27444954,140.95,-38.05
Pitt Water-Orielton Lagoon,TAS,3334.4601239,147.5,-42.8
Port Phillip Bay (Western Shoreline) and Bellarine Peninsula,VIC,14595.85575695,144.65,-38.1
Pulu Keeling National Park,EXT,2601.91189094,96.83,-11.83
Riverland,SA,30664.54776616,140.85,-33.95
Roebuck Bay,WA,34141.27821709,122.3,-18.1
"Shoalwater and Corio Bays Area (Shoalwater Bay Training Area, in part - Corio Bay)",QLD,201955.32683219,150.3,-22.4
"The Coorong, and Lakes Alexandrina and Albert Wetland",SA,142642.44255506,139.4,-35.75
The Dales,EXT,586.55059284,105.55,-10.5
The Macquarie Marshes,NSW,18755.55351055,147.55,-30.75
Toolibin Lake (also known as Lake Toolibin),WA,493.08397967,117.62,-32.92
Towra Point Nature Reserve,NSW,633.24811402,151.18,-34.0
Vasse-Wonnerup System,WA,1114.70978287,115.4,-33.62
Western District Lakes,VIC,32671.06274426,143.5,-38.1
Western Port,VIC,59955.05323569,145.3,-38.35
