square_id,Threatened status,Count,Percentage,Waffle squares,column,row
1,Endangered,860,38.95,39,0,9
2,Endangered,860,38.95,39,1,9
3,Endangered,860,38.95,39,2,9
4,Endangered,860,38.95,39,3,9
5,Endangered,860,38.95,39,4,9
6,Endangered,860,38.95,39,5,9
7,Endangered,860,38.95,39,6,9
8,Endangered,860,38.95,39,7,9
9,Endangered,860,38.95,39,8,9
10,Endangered,860,38.95,39,9,9
11,Endangered,860,38.95,39,0,8
12,Endangered,860,38.95,39,1,8
13,Endangered,860,38.95,39,2,8
14,Endangered,860,38.95,39,3,8
15,Endangered,860,38.95,39,4,8
16,Endangered,860,38.95,39,5,8
17,Endangered,860,38.95,39,6,8
18,Endangered,860,38.95,39,7,8
19,Endangered,860,38.95,39,8,8
20,Endangered,860,38.95,39,9,8
21,Endangered,860,38.95,39,0,7
22,Endangered,860,38.95,39,1,7
23,Endangered,860,38.95,39,2,7
24,Endangered,860,38.95,39,3,7
25,Endangered,860,38.95,39,4,7
26,Endangered,860,38.95,39,5,7
27,Endangered,860,38.95,39,6,7
28,Endangered,860,38.95,39,7,7
29,Endangered,860,38.95,39,8,7
30,Endangered,860,38.95,39,9,7
31,Endangered,860,38.95,39,0,6
32,Endangered,860,38.95,39,1,6
33,Endangered,860,38.95,39,2,6
34,Endangered,860,38.95,39,3,6
35,Endangered,860,38.95,39,4,6
36,Endangered,860,38.95,39,5,6
37,Endangered,860,38.95,39,6,6
38,Endangered,860,38.95,39,7,6
39,Endangered,860,38.95,39,8,6
40,Vulnerable,785,35.55,36,9,6
41,Vulnerable,785,35.55,36,0,5
42,Vulnerable,785,35.55,36,1,5
43,Vulnerable,785,35.55,36,2,5
44,Vulnerable,785,35.55,36,3,5
45,Vulnerable,785,35.55,36,4,5
46,Vulnerable,785,35.55,36,5,5
47,Vulnerable,785,35.55,36,6,5
48,Vulnerable,785,35.55,36,7,5
49,Vulnerable,785,35.55,36,8,5
50,Vulnerable,785,35.55,36,9,5
51,Vulnerable,785,35.55,36,0,4
52,Vulnerable,785,35.55,36,1,4
53,Vulnerable,785,35.55,36,2,4
54,Vulnerable,785,35.55,36,3,4
55,Vulnerable,785,35.55,36,4,4
56,Vulnerable,785,35.55,36,5,4
57,Vulnerable,785,35.55,36,6,4
58,Vulnerable,785,35.55,36,7,4
59,Vulnerable,785,35.55,36,8,4
60,Vulnerable,785,35.55,36,9,4
61,Vulnerable,785,35.55,36,0,3
62,Vulnerable,785,35.55,36,1,3
63,Vulnerable,785,35.55,36,2,3
64,Vulnerable,785,35.55,36,3,3
65,Vulnerable,785,35.55,36,4,3
66,Vulnerable,785,35.55,36,5,3
67,Vulnerable,785,35.55,36,6,3
68,Vulnerable,785,35.55,36,7,3
69,Vulnerable,785,35.55,36,8,3
70,Vulnerable,785,35.55,36,9,3
71,Vulnerable,785,35.55,36,0,2
72,Vulnerable,785,35.55,36,1,2
73,Vulnerable,785,35.55,36,2,2
74,Vulnerable,785,35.55,36,3,2
75,Vulnerable,785,35.55,36,4,2
76,Critically Endangered,453,20.52,20,5,2
77,Critically Endangered,453,20.52,20,6,2
78,Critically Endangered,453,20.52,20,7,2
79,Critically Endangered,453,20.52,20,8,2
80,Critically Endangered,453,20.52,20,9,2
81,Critically Endangered,453,20.52,20,0,1
82,Critically Endangered,453,20.52,20,1,1
83,Critically Endangered,453,20.52,20,2,1
84,Critically Endangered,453,20.52,20,3,1
85,Critically Endangered,453,20.52,20,4,1
86,Critically Endangered,453,20.52,20,5,1
87,Critically Endangered,453,20.52,20,6,1
88,Critically Endangered,453,20.52,20,7,1
89,Critically Endangered,453,20.52,20,8,1
90,Critically Endangered,453,20.52,20,9,1
91,Critically Endangered,453,20.52,20,0,0
92,Critically Endangered,453,20.52,20,1,0
93,Critically Endangered,453,20.52,20,2,0
94,Critically Endangered,453,20.52,20,3,0
95,Critically Endangered,453,20.52,20,4,0
96,Extinct,102,4.62,4,5,0
97,Extinct,102,4.62,4,6,0
98,Extinct,102,4.62,4,7,0
99,Extinct,102,4.62,4,8,0
100,Extinct in Wild and Conservation Dependent,8,0.37,1,9,0
